url,name,MaSanPham,author,NXB,NgayPhatHanh,kichthuoc,sotrang,gioithieu,giatien
http://nhanam.com.vn/sach/12562/quang-ganh-ielts-di-ma-vui-song,Quẳng gánh Ielts đi mà vui sống!,8935235217317,Lê Thanh Tùng,Thế Giới,Ngày phát hành: 05-07-2018,Kích thước: 14 x 20.5cm,Số trang: 324,"Tiếng Anh – thứ ngôn ngữ quốc tế - có vẻ như chưa bao giờ dễ tiếp cận đến thế. Ngày nay, với những trung tâm tiếng Anh mọc nên như nấm, chưa nói Internet ở mọi nơi, với vô số ứng dụng trên điện thoại phục vụ cho việc học thức ngôn ngữ này, tưởng chừng chinh phục nó sẽ là điều không quá khó nhọc.",90.000đ
http://nhanam.com.vn/sach/14726/giao-duc-tre-tu-dinh-huong,Giáo dục trẻ tự định hướng,8935235217645,Phương Đặng,Thế Giới,Ngày phát hành: 26-08-2018,Kích thước: 14 x 20.5cm,Số trang: 424,- Giáo dục trẻ tự định hướng/tự chỉ huy thực sự là gì?,115.000đ
http://nhanam.com.vn/sach/14670/de-cho-con-yen-nhung-cu-chuyen-cho-con-tien,Để cho con yên nhưng cứ chuyển cho con tiền,8935235218123,Anthonye. Wolf,Thế Giới,Ngày phát hành: 25-08-2018,Kích thước: 14x20.5 cm,Số trang: 328,"Không có độ tuổi nào gây nhiều bối rối hơn tuổi mới lớn. Bối rối không chỉ cho chính những đứa trẻ đang trải qua độ tuổi ấy, mà còn cho những người xung quanh chúng, trên hết là các bậc cha mẹ. Những đứa con hôm qua còn là đứa trẻ vui vẻ, cởi mở, tự giác giúp đỡ cha mẹ việc nhà, hôm nay đã trở thành những cô cậu thiếu niên hay cáu gắt, sưng sỉa, không thiết động chân tay làm một việc gì mà chỉ biết đấu khẩu hoặc né tránh cha mẹ. Những người cha người mẹ hoang mang có thể sẽ tìm thấy sức mạnh cho mình từ cuốn cẩm nang về trẻ tuổi teen thời đại mới này của Anthony E. Wolf.",110.000đ
http://nhanam.com.vn/sach/14639/me-an-ngon-con-khoe-manh,"Mẹ ăn ngon, con khỏe mạnh",8935235217690,Nguyễn Thị Ninh,Thế Giới,Ngày phát hành: 27-07-2018,Kích thước: 14.5x20.5 cm,Số trang: 228,"Chế độ dinh dưỡng thời kỳ thai nghén và sau sinh luôn là mối quan tâm lớn của các bà mẹ. Bây giờ mẹ bầu và mẹ cho con bú đã ăn uống thoải mái hơn, không kiêng khem nhiều như xưa, nhưng ăn thế nào cho lành mạnh, đủ dưỡng chất, ngon miệng mà không biến mẹ trở thành “vĩ đại”, lại chế biến đơn giản, thì không phải ai cũng nắm được.",129.000đ
http://nhanam.com.vn/sach/16620/nhat-ky-hoc-lam-banh-3---khi-bep-vang-lo,Nhật ký học làm bánh 3 - Khi bếp vắng lò,8935235218338,Linh trang,Thế Giới,Ngày phát hành: 26-08-2018,Kích thước: 16 x 24,Số trang: 296,"“Tất cả những công thức trong cuốn sách này được biên soạn với tiêu chí: không cần nhiều kĩ năng hay dụng cụ bếp đặc biệt, nguyên liệu không quá khó tìm, cách thực hiện đơn giản, ngay cả người ‘mới nhất’ trong bếp cũng có thể làm thành công trong lần thử đầu tiên. Và quan trọng hơn hết là tất cả những món ngọt này đều không cần lò nướng. Ý tưởng ‘khi bếp vắng lò’ xuất phát từ rất nhiều phản hồi của bạn đọc ",179.000đ
http://nhanam.com.vn/sach/16614/72-dieu-cho-noi-voi-con,72 điều chớ nói với con,8935235218284,Hà Hạo,Thông Tấn,Ngày phát hành: 19-09-2018,Kích thước: 15x20.5 cm,Số trang: 276,"“Tôi ép con học cũng chỉ là vì nó, sao nó nỡ bỏ đi?”",89.000đ
http://nhanam.com.vn/sach/16733/cac-ky-luc-the-gioi---bo-bach-khoa-thu-larous,Các kỷ lục thế giới - Bộ Bách khoa thư Larousse ,8935235219335,Danh Việt,Thế Giới,Ngày phát hành: 10-12-2018,Kích thước: 20 x 34 cm,Số trang: 95,"Bạn có biết trong các loàicá mập trắng, linh cẩu và cá sấu, loài nào có hàm răng khỏe nhất? Bạn có biết giun dây giày có thể dài đến 60 mét, đủ để buộc hàng chục đôi giày và người phụ nữ thấp nhất chỉ caocó 61 xăng ti mét? Luôn chứa đựng biết bao điều kỳ thú, thế giới tự nhiên muôn hình muôn vẻ vì thế lúc nào cũng khơi gợi sự hiếu kỳ, say mê khám phá của con người.",130.000đ
http://nhanam.com.vn/sach/16738/con-la-khach-quy,Con là khách quý,8935235219373,Kẩm Nhung,Thế Giới,Ngày phát hành: 13-12-2018,Kích thước: 15 x 24 cm,Số trang: 302,"“Đây là một cuốn sách hấp dẫn và bổ ích, nhất là những thông tin về chăm sóc sức khỏe hay ăn uống cho bé. Tôi  nghĩ đây sẽ là một cuốn sách có ích cho các ông bố bà mẹ, và nhất là cho các ông bà nội ngoại của các em bé. Trên hết, cuốn sách sẽ rất cần cho các bác sỹ nhi khoa (và cả sản khoa) ở Việt Nam đọc để thay đổi cách suy nghĩ  và tư vấn cho các ông bố bà mẹ ở Việt Nam.”",86.000đ
http://nhanam.com.vn/sach/16732/tu-lam-my-pham-tb-110000,Tự làm mỹ phẩm (TB 110.000),8935235219861,Anh Thư - Thu Giang,Thế Giới,Ngày phát hành: 10-12-2018,Kích thước: 15 x 20.5 cm,Số trang: 155,"""Quá trình tự học làm mỹ phẩm của chúng tôi chắc không được coi là vô cùng suôn sẻ. Không có tài liệu nào bằng tiếng Việt. Không đủ tiền mua nguyên vật liệu... Cũng vì vậy mà tôi đã làm hỏng nhiều và những bài học đó tôi nhớ sâu sắc, chúng tôi làm ra cuốn sách này cũng vì muốn bạn có một quá trình học làm mĩ phẩm thuận lợi hơn... Các công thức trong sách hướng dẫn này đã vượt qua bài kiểm tra về độ kích ứng trên da tại Trung tâm Kiểm nghiệm Dược phẩm - Mỹ phẩm Hà Nội.",110.000đ
http://nhanam.com.vn/sach/10501/sinh-ton-noi-hoang-da,Sinh tồn nơi hoang dã,8935235215146,Makoto Minemura,Lao động,Ngày phát hành: 23-04-2018,Kích thước: 18x22cm,Số trang: 179,"Nhắc đến “sinh tồn”, bạn sẽ nghĩ đến điều gì? Phiêu lưu trên đảo không người, thám hiểm trong rừng thẳm… nghe thật xa lạ với đời sống hiện đại nhỉ!",138.000đ
http://nhanam.com.vn/sach/16759/nhung-nha-kham-pha-lich-su-tri-kien-van-vat-v,Những nhà khám phá lịch sử tri kiến vạn vật và con người ,8935235219342,Daniel J. Boorstin,Thế Giới,Ngày phát hành: 26-12-2018,Kích thước: 17 x 25 cm,Số trang: 751,"Được coi như cuốn sách lớn nhất của một trong những sử gia lớn nhất thời hiện đại, ",209.000đ
http://nhanam.com.vn/sach/10500/lam-ban-voi-bong-da,Làm bạn với bóng đá,8935235215658,Tatsuki Noda,Lao động,Ngày phát hành: 23-04-2018,Kích thước: 18x22cm,Số trang: 194,"Hằng ngày, trên khắp thế giới có hàng triệu bạn trẻ cùng chạy theo trái bóng. Nhìn vào những bạn ấy, ta sẽ hiểu rằng cầu thủ càng giỏi thì càng giàu tình yêu bóng đá. Chính nhờ tình yêu này, người ta hăng say luyện tập kiên trì để cải thiện những điểm còn yếu. Cầu thủ chưa xuất sắc thì cần nỗ lực luyện tập hơn người khác nhiều lần và dần dà sẽ phát huy được hết khả năng của mình.",148.000đ
http://nhanam.com.vn/sach/16749/nghe-thuat-tu-duy-ranh-mach,Nghệ thuật tư duy rành mạch,8935235219885,Rolf Dobelli,Thế Giới,Ngày phát hành: 28-12-2018,"Kích thước: 14 x 20,5 cm",Số trang: 447,"Mọi người đều mắc sai lầm. Những sai lầm trong việc ra quyết định đều bắt nguồn từ các lỗi tư duy tưởng như đơn giản, nhưng dần dà chúng tích tụ thành những thành kiến khó bỏ. Vậy mà hiếm khi chúng ta nhận ra điều đó, nên sai lầm cứ nối tiếp sai lầm, dẫn đến bao hối tiếc vì những quyết định không đúng cho cuộc đời mình: Cứ mãi đeo bám một công việc dù biết trước chẳng thu được lợi lộc gì; cho rằng một dự án thành công suôn sẻ là do tài năng và trí lực, còn thất bại do ngoại cảnh khách quan; bán cổ phiếu lúc đã quá trễ, hoặc bán quá sớm… Và đó chỉ là một vài trong số hàng loạt các sai lầm “cơ bản” được Dobelli mổ xẻ phân tích qua 99 chương sách ngắn gọn, súc tích với những ví dụ minh họa thiết thực giúp ta có thể nhận diện và né tránh chúng. Đơn giản, rõ ràng và toàn diện một cách đáng  ngạc nhiên, cuốn cẩm nang nhất định phải có này có thể thay đổi mãi mãi cách ta suy nghĩ, giúp ta quyết định sáng suốt hơn mỗi ngày ở bất cứ đâu,  trong bất cứ tình huống nào.",118.000đ
http://nhanam.com.vn/sach/10499/hieu-nghe-nghiep-tuong-lai,Hiểu nghề nghiệp tương lai,8935235215153,Azumo Sonoko,Lao động,Ngày phát hành: 23-04-2018,Kích thước: 18x22cm,Số trang: 195,"Bạn thường thấy những nghề nào quanh mình? Thầy cô ở trường, cô chú ở công ty, bác tài xe buýt hay chú lái tàu điện… Nào, giờ bạn thử nghĩ tiếp đến những nghề xa xôi hơn, những cầu thủ bóng đá đại diện cho đất nước đi thi đấu ở nước ngoài, nghệ sĩ trên tivi, phi hành gia… Ngoài ra, còn rất, rất nhiều các công việc khác trên thế giới này.",148.000đ
http://nhanam.com.vn/sach/10497/neu-thi,Nếu... thì,8935235215962,Randall Munroe,Lao động,Ngày phát hành: 23-04-2018,Kích thước: 17x23cm,Số trang: 384,,129.000đ
http://nhanam.com.vn/sach/10498/boi-loi-nhu-kinh-ngu,Bơi lội như kình ngư,8935235215665,Iwamoto Kenichi,Lao động,Ngày phát hành: 23-04-2018,Kích thước: 18x22cm,Số trang: 178,"Quyển sách này dành cho những ai sợ nước hay chưa biết bơi. Bơi lội là môn thể thao đòi hỏi nhiều công sức để luyện tập cho nhuần nhuyễn, cũng như đi xe đạp vậy. Em có còn nhớ cảm giác xúc động khi lần đầu tiên trèo lên chiếc xe? Hay cảm giác vui sướng khi tự đạp xe chạy băng băng? Thế nhưng những ngày đầu ai cũng phải nhờ người khác giúp, và tập đi tập lại biết bao nhiêu lần mới đạp được, phải không!",142.000đ
http://nhanam.com.vn/sach/10524/bat-chuoc-de-thanh-cong,Bắt chước để thành công,8935235216501,Tachikawa Mitsuaki,Thế Giới,Ngày phát hành: 17-05-2018,"Kích thước: 14 x 20,5 cm",Số trang: 248,"Tachikawa Mitsuaki không ngại tiết lộ bí quyết thành công của ông, đó chính là bắt chước. Con người vốn là loài động vật dễ bị ảnh hưởng, dù muốn hay không cũng đang chịu ảnh hưởng từ môi trường và những người xung quanh, đây cũng chính là việc nhân loại thích ứng với môi trường để sinh tồn và phát triển. Nói cách khác, bắt chước cũng chính là học hỏi.",96.000đ
http://nhanam.com.vn/sach/7302/tam-ly-chien-trong-ban-le,Tâm lý chiến trong bán lẻ ,8935235213869,Toshifumi Suzuki,Tri Thức,Ngày phát hành: 25-09-2017,"Kích thước: 14 x 20,5 ",Số trang: 305,"Từ một người không có chút kiến thức nào trong ngành bán lẻ, không có kỹ năng đặc biệt hay một chứng chỉ cụ thể nào, thậm chí còn không có cảm xúc về các con số khi bán hàng, Toshifumi Suzuki đã đưa 7-Eleven trở thành đế chế bán lẻ được mệnh danh là chuỗi cửa hàng tiện lợi “đáng sợ” nhất trên thế giới, khi cứ hai giờ đồng hồ trôi qua lại có một cửa hàng mọc lên.",93.000đ
http://nhanam.com.vn/sach/9379/nang-bach-tuyet-va-bay-chu-lun---truyen-tranh,Nàng bạch tuyết và bảy chú lùn - Truyện tranh ghép hình,8935235214415,Bồ Câu,Hội nhà văn,Ngày phát hành: 13-12-2017,"Kích thước: 17 x 16,2 cm",Số trang: 20,Tranh ghép hình được ưa chuộng nhất nước Ý ,60.000đ
http://nhanam.com.vn/sach/7342/nuoi-con-kheo-cham-con-nhan,"Nuôi con khéo, chăm con nhàn",8935235214194,Rory (Joon Hee Kim),Thế Giới,Ngày phát hành: 14-11-2017,Kích thước: 15x24cm,Số trang: 393,"Nuôi con có phải là một việc dễ dàng? Tiếng khóc giữa đêm của con có bao giờ là niềm vui với các bà mẹ? Tại sao càng dỗ con ngủ, con càng khóc. Bế con cả đêm trên tay mà con vẫn ngủ không yên. Giờ ngủ. Con không ngủ. Giờ ăn. Con không ăn. Người cha người mẹ phải làm gì đây?",116.000đ
http://nhanam.com.vn/sach/10384/thuong-nho-thoi-bao-cap,Thương nhớ thời bao cấp,8935235214880,Thành Phong,Hội nhà văn,Ngày phát hành: 27-01-2018,Kích thước: 17x20.5cm,Số trang: 251,,150.000đ
http://nhanam.com.vn/sach/10386/de-an-khong-phai-ban-khoan,Để ăn không phải băn khoăn,8935235215115,Nguyễn Bích Hiền,Thế Giới,Ngày phát hành: 24-01-2018,"Kích thước: 14 x 20,5 ",Số trang: 267,"“Độc giả sợ thực phẩm gây ung thư. Còn tôi, tôi hãi truyền thông về an toàn thực phẩm.”",80.000đ
http://nhanam.com.vn/sach/10364/an-toan-khi-online,An toàn khi online,8935235215061,Louie Stowell.,Thế Giới,Ngày phát hành: 10-01-2018,Kích thước: 14x20.5cm,Số trang: 144,"Tuần này bạn đã check in ở bao nhiêu quán? Đã selfie bao nhiêu lần? Lần cuối bạn vào WC mà không mang theo smartphone là từ bao giờ? Nếu bạn thấy cả nguồn sống bỗng chốc thu bé lại vừa bằng một màn hình thì bạn không cô đơn đâu. Internet đã chạm đến mọi ngóc ngách trong cuộc sống của chúng ta. Thế giới đó thật kỳ diệu với nguồn tri thức bất tận, và muôn màu vẻ cuộc sống đang hiện lên từng giây từng phút. Nhưng còn những mặt trái của nó, những những mê cung tăm tối đầy cạm bẫy với đủ loại quái thú, nào spammer, nào troll, hay cả những kẻ ấu dâm đáng sợ?",49.000đ
http://nhanam.com.vn/sach/10437/thuong-nho-thoi-bao-cap-ban-dac-biet,Thương nhớ thời bao cấp( Bản đặc biệt),8935235215511,Thành Phong,Hội nhà văn,Ngày phát hành: 12-03-2018,Kích thước: 17x20.5 cm,Số trang: 256,,
